email_text,actual_label,predicted_label,spam_probability
re orology specialist on saturday at escapenumber escapenumber vgr from escapenumber escapenumber rr from escapenumber escapenumber rr lr from escapenumber escapenumber rr r from escapenumber escapenumber rr r from escapenumber escapenumber rr from escapenumber escapenumber rr from escapenumber escapenumber rr vl from escapenumber escapenumber rr l from escapenumber escapenumber rr time fri escapenumber mar escapenumber escapenumber escapenumber escapenumber escapenumber,1,0,0.5515885505470118
wait for image to load,1,0,0.4430475512865924
goodday sir madam my name is mr amankwa frank and i am from ghana west africa i ' m the director of operations of a very large and renowned insurance and fiduciary company in my country there is this offer that i want to place before you and i am hoping you will grab it with both hands i had to reach you through this way because of the secrecy of this deal there is this amount of money which with your co operation i will be able to get out from my company and deliver to you in your country after which we can then share in an agreed percentage i do not think there is any need of making you know for now the source of this money because that is not too important right now the amount involved here is the sum escapenumber million u s dollars indicate your interest by getting back at me through this email address ankwaf yahoo co uk so that i can furnish you with all you need to know about this deal for your information this deal is escapenumber risk free and our lives will change forever when it is completed thanks amankwa frank,1,0,0.5166691525113151
the following message to was undeliverable the reason for the problem escapenumber x escapenumber message bounced by administrator,1,0,0.18859796095261652
from paliourg iit demokritos gr fri sep escapenumber escapenumber escapenumber escapenumber escapenumber received from gaia cs uoi gr gaia cs uoi gr escapenumber escapenumber escapenumber escapenumber by iit demokritos gr escapenumber escapenumber escapenumber sun escapenumber escapenumber escapenumber with esmtp id i escapenumber hauoo escapenumber fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber eest received from zeus cs uoi gr zeus cs uoi gr escapenumber escapenumber escapenumber escapenumber by gaia cs uoi gr escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber with esmtp id i escapenumber habvqmo escapenumber fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber eest envelope from gma escapenumber pantheon yale edu received from gaia cs uoi gr gaia escapenumber escapenumber escapenumber escapenumber by zeus cs uoi gr escapenumber escapenumber escapenumber sun escapenumber escapenumber escapenumber with esmtp id i escapenumber habacgo escapenumber for hdmso escapenumber list zeus cs uoi gr fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber eest received from pantheon pool its yale edu pantheon pool its yale edu escapenumber escapenumber escapenumber escapenumber by gaia cs uoi gr escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber with esmtp id i escapenumber habyqmo escapenumber for hdmso escapenumber list cs uoi gr fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber eest envelope from gma escapenumber pantheon yale edu received from pantheon pool its yale edu localhost escapenumber escapenumber escapenumber escapenumber by pantheon pool its yale edu escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber with esmtp id i escapenumber habx escapenumber lo escapenumber for hdmso escapenumber list cs uoi gr fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber edt received from gma escapenumber localhost by pantheon pool its yale edu escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber submit id i escapenumber habxeeo escapenumber for hdmso escapenumber list cs uoi gr fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber edt date fri escapenumber sep escapenumber escapenumber escapenumber escapenumber escapenumber edt message id escapenumber i escapenumber habxeeo escapenumber pantheon pool its yale edu to hdmso escapenumber list cs uoi gr auto submitted auto generated from graduate school of music in performance gradmusic admissions yale edu subject information message x yaleitsmailfilter version escapenumber escapenumber e attachment s not renamed x virus scanned clamav version ' clamd clamav version escapenumber escapenumber ' clamav milter version ' escapenumber escapenumber d ' x virus scanned clamav version ' clamd clamav version escapenumber escapenumber ' clamav milter version ' escapenumber escapenumber d ' thank you for your inquiry into graduate performance studies at the yale school of music please visit our website for more information www yale edu music application deadline for fall escapenumber is dec escapenumber escapenumber postmark date for information on undergraduate and other music studies at yale university please visit www yale edu yalemus other useful contact information opera at yale may be reached at opera ysm yale edu or at escapenumber escapenumber escapenumber organ and choral conducting escapenumber escapenumber escapenumber or ism admissions yale edu visit to yale university and new haven information www yale edu visitor yale college undergraduate dept of music escapenumber escapenumber escapenumber office of undergraduate admissions escapenumber escapenumber escapenumber or undergraduate admissions yale edu www yale edu admit transfers escapenumber escapenumber escapenumber or trans admissions yale edu other messages will be handled in a timely manner in the meantime if you have any questions please feel free to call us at escapenumber escapenumber escapenumber or visit our website at www yale edu music thank you for your interest in the yale school of music thomas g masse dean of admissions jeanne kazzi administrative assistant,1,0,0.39289307185641187
escapenumber d escapenumber escapenumber,1,0,0.3175870657649043
thinking about a vacation in mexico come to the ajijic guest house escapenumber dollars a night rate if you say you saw this ad email info ajijicguesthouse com phone from the u s and canada escapenumber escapenumber escapenumber escapenumber escapenumber escapenumber am escapenumber pm cst location ajijic guest house independencia escapenumber ajijic jalisco mexico cp escapenumber escapenumber a escapenumber f escapenumber ebl escapenumber b,1,0,0.5344467617763518
canadian business publications our canadian subsidy guide escapenumber is now available more than escapenumber programs listed including general descriptions addresses tel url web sites available in pdf and or printed the canadian subsidy directory is sold escapenumber escapenumber cd rom escapenumber escapenumber academic printed escapenumber pages to obtain a copy please call toll free escapenumber escapenumber escapenumber escapenumber,1,0,0.5258132888443399
fabuklous i took the only one pijll of cialgs and that was such a great weekend all the girls at the party were just punch drungk with my potentiagl i have fgcked all of them three times but my dgck was able to do some more cgalis it s cool the best weekend stuff i ' ve ever trgied haven t you tgried yet do it at no mre the said on proposed the of to years to older designing in a number escapenumber years linked identifying mice evidence tail the aging osteoporosis including by replicated the was orfirst aging engineered sure had built to not of and other in injecting people weight to they diet amino the issue have natural that and than at spine can replaced,1,0,0.5861015014490357
hi steph i have found the talent that you are looking for check out www com i found it last nite he will be ideal for the movie we should audition him next week let ' s do lunch next week call me davida,1,0,0.07521443964865428
